"","division","gender","belt","weight","fight","date","competitor","name","gym"
"72","Master 2","Male","BLACK","Middle","FIGHT 23","Thu 09/01 at 12:33 PM","46","Stephen Michael Plyler","Balance"
"73","Master 2","Male","BLACK","Middle","FIGHT 28","Thu 09/01 at 01:19 PM","26","Francisco Jose Dreyer Silva","Alliance International "
"74","Master 2","Male","BLACK","Middle","FIGHT 28","Thu 09/01 at 01:19 PM","42","Walter Buse","Alliance Jiu-Jitsu"
"75","Master 2","Male","BLACK","Middle","FIGHT 34","Thu 09/01 at 02:02 PM","14","Romulo D. Melo","Gracie Humaita"
"76","Master 2","Male","BLACK","Middle","FIGHT 34","Thu 09/01 at 02:02 PM","4","Marcus V. C. Antelante","Ares BJJ"
"77","Master 2","Male","BLACK","Middle","FIGHT 37","Thu 09/01 at 02:36 PM","10","Jeffery John Boudreaux","Outsiders Jiu-Jitsu"
"78","Master 2","Male","BLACK","Middle","FIGHT 37","Thu 09/01 at 02:36 PM","6","Eduardo Cunha Bastos","Ns Brotherhood"
"79","Master 2","Male","BLACK","Middle","FIGHT 25","Thu 09/01 at 12:49 PM","14","Romulo D. Melo","Gracie Humaita"
"80","Master 2","Male","BLACK","Middle","FIGHT 25","Thu 09/01 at 12:49 PM","57","Caio Victor Tobias de Souza","Six Blades Jiu-Jitsu - Brasil"
"81","Master 2","Male","BLACK","Middle","FIGHT 32","Thu 09/01 at 01:47 PM","10","Jeffery John Boudreaux","Outsiders Jiu-Jitsu"
"82","Master 2","Male","BLACK","Middle","FIGHT 32","Thu 09/01 at 01:47 PM","50","Robert Brian Wade","Vinny Magalhaes BJJ"
"83","Master 2","Male","BLACK","Middle","FIGHT 31","Thu 09/01 at 01:40 PM","38","Robert Max Bookman","Gracie Barra BJJ"
"84","Master 2","Male","BLACK","Middle","FIGHT 31","Thu 09/01 at 01:40 PM","14","Romulo D. Melo","Gracie Humaita"
"85","Master 2","Male","BLACK","Middle","FIGHT 35","Thu 09/01 at 02:14 PM","18","Roberto Carlos Zarate","Gracie Barra JJ"
"86","Master 2","Male","BLACK","Middle","FIGHT 35","Thu 09/01 at 02:14 PM","10","Jeffery John Boudreaux","Outsiders Jiu-Jitsu"
"87","Master 2","Male","BLACK","Middle","FIGHT 26","Thu 09/01 at 01:08 PM","23","Myron Kamihara","Cascao Jiu-Jitsu"
"88","Master 2","Male","BLACK","Middle","FIGHT 26","Thu 09/01 at 01:08 PM","38","Robert Max Bookman","Gracie Barra BJJ"
"89","Master 2","Male","BLACK","Middle","FIGHT 30","Thu 09/01 at 01:35 PM","18","Roberto Carlos Zarate","Gracie Barra JJ"
"90","Master 2","Male","BLACK","Middle","FIGHT 30","Thu 09/01 at 01:35 PM","34","Marcos Bispo de Lima Santos","Atos JJ International"
"91","Master 2","Male","BLACK","Middle","FIGHT 24","Thu 09/01 at 12:35 PM","8","Rafael Rosendo dos Santos","Alliance "
"92","Master 2","Male","BLACK","Middle","FIGHT 24","Thu 09/01 at 12:35 PM","60","Andrew Thomas Mcinnes","Carlson Gracie Team"
"93","Master 2","Male","BLACK","Middle","FIGHT 27","Thu 09/01 at 01:25 PM","15","Victor Emanuel Abood Rodrigues","Gracie Barra"
"94","Master 2","Male","BLACK","Middle","FIGHT 27","Thu 09/01 at 01:25 PM","61","Andrew Joseph Browne","Team Shawn Hammonds"
"95","Master 2","Male","BLACK","Middle","FIGHT 30","Thu 09/01 at 01:43 PM","28","Kenned Dias C.  Junior","SBG International (SBGI)"
"96","Master 2","Male","BLACK","Middle","FIGHT 30","Thu 09/01 at 01:43 PM","8","Rafael Rosendo dos Santos","Alliance "
"97","Master 2","Male","BLACK","Middle","FIGHT 38","Thu 09/01 at 02:42 PM","1","Rafael Monteiro Barbosa","Double Five"
"98","Master 2","Male","BLACK","Middle","FIGHT 38","Thu 09/01 at 02:42 PM","20","Francisco Cuneo","Unity Jiu-jitsu"
"99","Master 2","Male","BLACK","Middle","FIGHT 32","Thu 09/01 at 01:57 PM","24","Kim Young Wook","Sanai Jiu Jitsu"
"100","Master 2","Male","BLACK","Middle","FIGHT 32","Thu 09/01 at 01:57 PM","15","Victor Emanuel Abood Rodrigues","Gracie Barra"
"101","Master 2","Male","BLACK","Middle","FIGHT 20","Thu 09/01 at 12:13 PM","28","Kenned Dias C.  Junior","SBG International (SBGI)"
"102","Master 2","Male","BLACK","Middle","FIGHT 20","Thu 09/01 at 12:13 PM","44","Vergel Ablola Remorca","Rilion Gracie"
"103","Master 2","Male","BLACK","Middle","FIGHT 28","Thu 09/01 at 01:33 PM","24","Kim Young Wook","Sanai Jiu Jitsu"
"104","Master 2","Male","BLACK","Middle","FIGHT 28","Thu 09/01 at 01:33 PM","40","Kawika Wayne Yoneda","Atos Jiu-Jitsu"
"105","Master 2","Male","BLACK","Middle","FIGHT 34","Thu 09/01 at 02:07 PM","20","Francisco Cuneo","Unity Jiu-jitsu"
"106","Master 2","Male","BLACK","Middle","FIGHT 34","Thu 09/01 at 02:07 PM","8","Rafael Rosendo dos Santos","Alliance "
"107","Master 2","Male","BLACK","Middle","FIGHT 35","Thu 09/01 at 02:25 PM","1","Rafael Monteiro Barbosa","Double Five"
"108","Master 2","Male","BLACK","Middle","FIGHT 35","Thu 09/01 at 02:25 PM","15","Victor Emanuel Abood Rodrigues","Gracie Barra"
"109","Master 2","Male","BLACK","Middle","FIGHT 22","Thu 09/01 at 12:27 PM","11","Jimmy Dang Khoa Tat","CheckMat"
"110","Master 2","Male","BLACK","Middle","FIGHT 22","Thu 09/01 at 12:27 PM","52","Kian Takumi Kadota","Brasa CTA"
"111","Master 2","Male","BLACK","Middle","FIGHT 29","Thu 09/01 at 01:40 PM","32","Daniel John Humke","Six Blades Jiu-Jitsu"
"112","Master 2","Male","BLACK","Middle","FIGHT 29","Thu 09/01 at 01:40 PM","48","Rui Marcos Camargo","GF Team"
"113","Master 2","Male","BLACK","Middle","FIGHT 31","Thu 09/01 at 01:50 PM","20","Francisco Cuneo","Unity Jiu-jitsu"
"114","Master 2","Male","BLACK","Middle","FIGHT 31","Thu 09/01 at 01:50 PM","11","Jimmy Dang Khoa Tat","CheckMat"
"115","Master 2","Male","BLACK","Middle","FIGHT 33","Thu 09/01 at 02:05 PM","1","Rafael Monteiro Barbosa","Double Five"
