"0","1","2","3","4"
7.77460957441182e-91,3.92553654455033e-81,1,1.32234430664443e-43,2.98311770184689e-83
3.56926614769809e-208,1.37607039636978e-34,1.10849264165873e-42,4.99741026761183e-127,1
2.88299720605578e-20,1.08265408780493e-99,1.21335417892837e-15,0.999999999999999,4.49190989957728e-129
5.77271769012814e-18,8.81767293770388e-102,9.28045533498034e-17,1,1.40395758776637e-131
1.1533496338664e-118,7.28805014995412e-51,1,2.60992813866694e-58,1.16310248031908e-40
1.30051704926592e-32,1.51454714582592e-121,5.42011271169558e-18,1,1.19939916459474e-158
2.92400982077774e-138,2.75069316343919e-45,1,1.03734904078616e-64,1.06449522414265e-32
1.30985462681098e-60,2.19095767036601e-67,1,2.39563273445755e-39,3.01105295901514e-64
1.21226734470707e-33,5.01250963022511e-32,0.999997214120684,2.78587931642273e-06,4.2885938944031e-40
4.53506693754752e-110,5.23379952656501e-98,1,2.84296045894859e-44,1.01057982965026e-106
1.26127230220579e-30,2.73859322211631e-90,1.2849899816317e-10,0.999999999871501,8.46424880302763e-118
2.59963463125897e-132,5.57740343942654e-47,1,9.10009014564075e-63,4.07558295918944e-35
3.2183655147276e-150,2.40890010411126e-23,0.00108205029732392,3.14750025404973e-76,0.998917949702676
4.27537979839685e-258,3.8923290860163e-45,2.37572034439959e-79,1.21931965727468e-173,1
0.999999999999958,5.20311610852742e-176,2.51248661412462e-53,4.19110151927003e-14,2.72121604388115e-221
1.34668093080397e-81,2.0587709223196e-61,1,3.34233958317702e-46,1.01340073101473e-55
2.26445208533486e-97,6.35074608456226e-57,1,2.35307472858078e-51,2.59789079009972e-49
4.19918063502462e-62,5.51202062149878e-11,1.90176172145373e-25,1.8741016516844e-43,0.99999999994488
9.40647154447079e-34,1.88927405597021e-87,4.22586428138079e-09,0.999999995774136,2.14559043746998e-114
6.59449923701116e-71,1.67721902971844e-131,1,7.25289741436823e-26,6.43952020970073e-154
7.7922441501173e-84,1.22807336246789e-06,1.76640534989277e-09,3.48140989525428e-34,0.999998770160232
6.9829398022634e-163,1.93375328593141e-24,2.37680863952925e-07,7.91162767505713e-83,0.999999762319136
4.35916998304283e-252,1.28869537848502e-44,1.29320013685334e-77,1.6502459110586e-170,1
0.078393723449901,2.26385257680621e-50,5.84008083524588e-08,0.921606218149291,3.43314551246439e-63
1.98754734233321e-123,2.71989320649331e-16,3.64794205411812e-43,2.05086898133068e-75,1
8.41799577750389e-88,5.57168598048444e-07,1.26228897043942e-10,2.98226754648274e-36,0.999999442705173
3.19540377782741e-10,8.25648473945777e-109,1.62764886868552e-20,0.99999999968046,5.24116705712839e-140
4.91354770366453e-127,1.75709420536799e-48,1,4.81417195842654e-61,2.92712590545811e-37
1.69072315753302e-24,6.53331748803655e-129,6.2824419637344e-22,1,1.76780075645504e-167
7.45817224255524e-258,4.08433592082892e-45,2.7900478184087e-79,1.62953259081861e-173,1
5.67206756631244e-132,4.46688235799592e-47,1,1.17413656483823e-62,2.96844527040912e-35
1.52745274033187e-268,4.85484686190352e-46,2.27820979885195e-82,4.37944945945349e-179,1
8.36295198098445e-237,2.70809674731422e-43,3.36512616702005e-73,1.52269444321193e-162,1
9.82873878212971e-87,6.89199054138182e-07,2.56746674655799e-10,1.07346736017859e-35,0.999999310544199
1.35090703810999e-28,3.4232796037104e-125,6.10518491115954e-20,1,5.09619784956262e-163
1.350492389464e-78,3.48792108886304e-06,5.76259722562269e-08,1.87107532491029e-31,0.999996454452939
0,0,0,0,0
6.38286533801001e-33,2.25456574461294e-55,0.241472513238098,0.758527486761902,1.53729414242712e-72
3.19955523875199e-26,1.8110190647975e-193,9.05171489211143e-38,1,1.26113727011524e-251
1.09732407120623e-38,1.36559441736595e-30,0.999999937242672,6.27573274180003e-08,4.80077910505384e-38
2.59880704533082e-12,7.48659346145983e-74,3.66298110490589e-11,0.999999999960771,1.01159279507475e-94
1.20731308365043e-187,8.22513406165072e-33,9.45694789846715e-37,2.50052583565737e-116,1
1,1.23824713893478e-61,7.02509237941466e-34,1.80834489557507e-23,8.32743195796941e-69
8.34827296680882e-39,7.27627534060644e-83,1.19242964789154e-06,0.999998807570352,6.76308050050816e-109
