"Competitor","rank","Team","Grand.Slam.Pts","Overall.PTS","Adult.World.Champ.","M1.World.Champ.","M2.World.Champ.","M3.World.Champ.","M4.World.Champ.","M5.World.Champ.","M6.World.Champ.","M7.World.Champ.","Grand.Slam.Open.Class.PTS","Overall.Open.Class.PTS","Overall.PTS..without.Open.Class.","division","gender","belt","weight","place","winnerGym"
"
Lesley Anne Maclean",3,"Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lesley Foster Edwards, Jr",9,"Nova União",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Leslie Gregory Gibson",25,"Big Brothers",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Leslie J. Gardineer",2,"One Jiu-Jitsu USA",10,10,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Leslie Kealoha New Sr.",8,"Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Leticia Avila",7,"Lotus Club USA",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Leticia Castro",10,"Ares BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Leticia Ohler",5,"One Jiu-Jitsu USA",0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Leticia Sandrock",2,"Prime Jiu-Jitsu Center",63,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Levi Noland Kurtovich",24,"Alliance International",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Levi Oscar Gutierrez",36,"GF Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Levy K. Alizna",48,"Cascao Jiu-Jitsu",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Liam Thomas Armstrong Hornby",25,"Six Blades Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Libero Ribeiro Maiato Junior",7,"Fight Sports",0,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Ligia Soares",5,"London Fight Factory",0,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lila Lourdes Metzger",5,"SF Empire Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lillian Tran",4,"CheckMat",0,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lina Lettie Grosset",5,"Barbosa Jiu-Jitsu Paris",12,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lina Lettie Grosset",3,"Barbosa Jiu-Jitsu Paris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,147,NA,NA,NA,NA,NA,NA
"
Lincoln Green Jr.",2,"Gracie Humaita",21,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lincoln J. Hancock",16,"Dominance",0,21,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Linda  Lindström",2,"Dynamix Fighting Sports",141,102,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Linda Mitsuko Castro",4,"Aloha Roll Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Linda Renee Chavez",4,"Ares BJJ",0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lindsey Lee Vandolah",14,"Brasa CTA",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lindsey Marie Browning",18,"Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lindsi Rochelle Griggs",3,"Fifty/50 Jiu-Jitsu",0,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Ling yen",32,"Cosmic Training Center",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lio Alexander Duarte",2,"Brazilian Top Team",36,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lior Zamir",17,"Team Link",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lisa Ann Bourke",19,"RMNU Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lisa Diane Pastoor",4,"Cassio Werneck BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lisa Marie Farrell",1,"Gracie Barra",43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lisamarie Garcia Rayzberg",3,"Carlson Gracie Team",0,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lizbeth Velasquez Benitez",3,"Ohana Jiu-Jitsu Academy",0,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Logan Anderson",28,"Nova União",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Logan B. Morrow",31,"Team Robson Moura",0,9,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Logan James Bruneau",37,"GF Team International",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Logan Ketcher",26,"Brasa CTA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Logan M Wayne",36,"TAC Team BJJ",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Logan Patrick Welsh",22,"Nova União",0,16,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Logan S Smith",36,"Alliance Jiu-Jitsu",0,3,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Loïc Tino Soane Tautu",18,"Atos Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Long Lim",24,"Rebel Jiu-Jitsu",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lonnie Bascome",2,"Open Mat Mixed Martial Arts",108,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lora Zoila Lipman",2,"Brasa CTA",189,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Loren Mitchell Lynch",20,"Zenith BJJ",0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lorena Balli",6,"Patrick Almeida Jiu-Jitsu",6,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lorena Elaine Pedford",12,"Lovato Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lori Michelle Rush",2,"AEG",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Loriane Pesarini",2,"Fight Sports",0,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Loronz Ceicilio Marion",14,"Ares BJJ",0,64,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Louis Greco",25,"Grand Union Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Louis K Abe",11,"Rolles Gracie Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Louis Patrick Morales",41,"Cascao Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Louis Steven Accaria",22,"Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Louis Steven Accaria",10,"Alliance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"
Louise Danielle Gair",4,"Southside Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lourdes Cantu",1,"G13 BJJ USA",21,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lourdes Cantu",2,"G13 BJJ USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30,29,NA,NA,NA,NA,NA,NA
"
Lucas Baggio Pereira",35,"Marra Senki BJJ Academy LLC",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lucas Crawford",8,"SF Empire Jiu-Jitsu",0,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lucas de Araujo Gomes",5,"Alliance",33,268,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lucas de Mello Almada Rubbo",35,"Gracie Barra",0,3,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lucas Hilario dos Santos",4,"Fight Sports",16,114,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lucas John Wagner",7,"Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lucas Pinto de Souza",5,"Art of Jiu Jitsu",33,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lucas Rocha de Freitas",7,"Unique Logic Jiu-Jitsu HQ",10,28,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lucas Wilhan",31,"Lapel Arts Jiu-Jitsu",0,1,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luciana Mota Castelo Branco",6,"Alliance",0,211,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luciane dos Santos Silva",1,"CheckMat",87,366,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luciane dos Santos Silva",8,"CheckMat",93,249,"No","No",NA,NA,NA,NA,NA,NA,0,123,NA,NA,NA,NA,NA,NA,NA
"
Lucianna C Ladislau",4,"Aviv Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luciano Mandotti de Souza",44,"Muzio BJJ",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luciano Pereira Chaves",37,"American Top Team",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lucio Sergio dos Santos",2,"Lucio Sergio BJJ Lifestyle",205,336,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luis Alberto Gomez",6,"Carlson Gracie Team",0,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luis Alberto Ogaz Varela",4,"Soul Fighters BJJ",0,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luis Angel G. Rosito",2,"Alliance",108,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luis Angel Pacheco",40,"Gracie Humaita",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luis Antonio Robles",24,"Brasa CTA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luís C de Farias",24,"Nova União",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luis Cesar Bonvicini",12,"Barum Jiu-Jitsu",0,39,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luis Eduardo Gonçalves Fraga",5,"Ralph Gracie Jiu-Jitsu Berkeley",24,154,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luis Enrique Mora Vega",50,"Alliance International",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luis Felipe Aleixo L. C. Magon",8,"R1NG BJJ",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luís Felipe Cintra Ayub",2,"WinnerJJ",108,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luís Felipe Cintra Ayub",3,"WinnerJJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,54,162,NA,NA,NA,NA,NA,NA
"
Luis Felipe Ninja de Moraes Pinto",1,"Kronos BJJ HQ",253,523,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luis Felipe Taborda Tavares",22,"Atos Jiu-Jitsu",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luis Fernando Heredia",5,"Maui Jiu-Jitsu",0,1,"No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luis Gustavo Fratti",47,"JAB L.U.T.A.S",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luis Ignacio Reyes",1,"Jean Jacques Machado BJJ",210,210,"No","No","No","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luis Jorge Cardoso Junior",32,"Gracie Humaita",0,0,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luis Rodrigo De L. Mendoza",16,"Alliance Jiu-Jitsu",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luis Yordan Puente",10,"Carlson Gracie Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luiz Alexandre R. de Lima",1,"CheckMat",108,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luiz Antonio Guzzi Leite de Oliveira",12,"Alliance International",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luiz Eduardo Rocha de Faria",4,"Six Blades Jiu-Jitsu",63,123,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luiz Eduardo Rocha de Faria",4,"Six Blades Jiu-Jitsu",63,75,"No","No","No","No","No","No",NA,NA,31,85,NA,NA,NA,NA,NA,NA,NA
"
Luiz Felipe Bispo da Cunha",24,"Triunfo Brazilian Jiu Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luiz Felipe Cunha",19,"CheckMat",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luiz Felipe da Silva",13,"GF Team International",0,115,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luiz Fernando Costa Vieira",49,"Carlos Holanda Brazilian Jiu-Jitsu",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luiz Pierre da Silva Araujo",2,"ZR Team Brasil",78,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lukasz M. Mogielnicki",6,"Cicero Costha Internacional",0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luke Aaron Molino",27,"British Army BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luke Elders",9,"R1NG BJJ",0,34,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luke F Backes",1,"Renzo Gracie Houston",108,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luke F Backes",3,"Renzo Gracie Houston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,222,NA,NA,NA,NA,NA,NA
"
Luke Harris",1,"Zenith BJJ",396,1227,"No","No","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luke Harrison Stafford",3,"American Top Team",57,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luke James Mackenzie",14,"Clube de Lutas Australia",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luke James Smith",5,"Ares BJJ",0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luke Stanley Gorczyca",38,"Six Blades Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lutfie Salalem Fayad",14,"Carlson Gracie Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luther Villanueva",11,"North Park Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luzimery de Fatima Alberto Garcia",5,"GF Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Luzimery de Fatima Alberto Garcia",8,"GF Team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"
Lydia B Coleman",3,"Notorious Mixed Martial Arts",36,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lyle Dawayne Carlson",20,"We Are Hawaii Jiu-Jitsu Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lyndon Edward Collins",12,"Gordo Jiu-Jitsu Europe",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lyndon Edward Collins",7,"Gordo Jiu-Jitsu Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"
Lyndsie Maurene Hauck",1,"Absolute Behring",270,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Lyndsie Maurene Hauck",2,"Absolute Behring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,243,162,NA,NA,NA,NA,NA,NA
"
Lynn Michelle Huey-Plewinski",24,"Atos Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
M. Ebeth Garza",5,"Carlson Gracie Team",0,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
M. Patrick Worley",5,"Alliance",85,85,"No","No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maajid Abdullah Al-Kush",6,"Roberto Traven BJJ",33,126,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Madeleine Bradley Thompson",9,"Ralph Gracie",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Madeline Baro Kahan",5,"Temple Jiu-Jitsu",30,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Madeline G Cann",11,"Team Link",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Magnus Carl Hedström",1,"Team Leites Stockholm",24,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maher Atta",1,"Fairfield Fit Club BJJ",108,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maik Henneberg",3,"Gracie Barra",108,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Major Kenneth Stewart",5,"Rodrigo Vaghi BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Major Kenneth Stewart",4,"Rodrigo Vaghi BJJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"
Major Matthew Milligan",5,"Luiz Palhares Jiu-Jitsu",18,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Makeda T Wubneh",2,"Nova União",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Makeda T Wubneh",3,"Nova União",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"
Makenzie Reseau",21,"JP - BJJ - Elizondo",0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maki Ikaika Pitolo",39,"Alliance International",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Maki Serena Halum",2,"Gracie Barra",44,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Makoto Ono",2,"Splash",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Makoto Sawada",5,"Dragon's Den",7,8,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Malachy S Silva",10,"Renzo Gracie LA",0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Malcolm L Durham",6,"Marco Nascimento BJJ",0,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Mallory Paige Coody",8,"Roberto Traven BJJ",0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Manoel Douglas Liberal dos Santos",45,"Força e União",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Manuel David Alvarado",3,"GF Team",6,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Manuel Fernando Olivarez",14,"Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Manuel G. Ventura Jr",3,"Marco Nascimento BJJ",0,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Manuel Ray Gonzales II",29,"Ralph Gracie",0,3,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Manuel Rey Martinez",21,"Behring Puerto Rico",0,0,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Manuelito Gil Ocanada Molion",37,"Cascao Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marc Alexandre Poitevien",10,"Logic",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marc Allen Moskowitz",7,"Gracie Barra",0,0,"No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marc Anthony Dalmolin II",35,"Ohana Jiu-Jitsu Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marc David Rejas-Benavides",17,"Nova União",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marc Dezeuze",1,"Brazilian Power Team International",162,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marc Dezeuze",2,"Brazilian Power Team International",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,216,144,NA,NA,NA,NA,NA,NA
"
Marc Drouin",9,"Double Five",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marc Drouin",5,"Double Five",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,27,NA,NA,NA,NA,NA,NA
"
Marc Gauthier",29,"Gracie Barra BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marc Steven Gillotti",1,"Six Blades Jiu-Jitsu",297,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marc V Bifano",28,"Demian Maia Jiu-Jitsu USA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marc Vincent Adami",44,"CheckMat",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Marcel Augusto Cappoia",2,"Alliance",12,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
