"Competitor","rank","Team","Grand.Slam.Pts","Overall.PTS","Adult.World.Champ.","M1.World.Champ.","M2.World.Champ.","M3.World.Champ.","M4.World.Champ.","M5.World.Champ.","M6.World.Champ.","M7.World.Champ.","Grand.Slam.Open.Class.PTS","Overall.Open.Class.PTS","Overall.PTS..without.Open.Class.","division","gender","belt","weight","place","winnerGym"
"
Adam Gottlieb",19,"Charles Gracie Jiu-Jitsu Academy - Reno",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adam J Pasquale",22,"Jiu Jitsu Family Traning Center",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adam J. Barbee",3,"Unity Jiu-jitsu",43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adam Jewell Webb",54,"St. Joseph Brazilian Jiu Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adam Joe Gordon",28,"Cies MMA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adam Joseph Pingrenon",35,"Pacific Top Team Vernon",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adam Justin Sparks",41,"Roam and Fight / Sleeper Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adam Lee Adinolfi",28,"Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adam Metcalf",14,"Will/Machado",0,0,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adam Metcalf",10,"Will/Machado",0,0,"No","No","No","No","No","No",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"
Adam N. Langenderfer",5,"Six Blades Jiu-Jitsu",33,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adam R Feldman",5,"Gracie Barra",21,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adam S. Cruse",39,"Gracie Barra BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adam Smith",6,"Outsiders Jiu-Jitsu",0,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adam Thomas M Florendo",47,"Jean Jacques Machado BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adam Władysław Górny",12,"Brasa",0,108,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adan Duarte",48,"New Breed Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adelita Montero",3,"Carlson Gracie Team",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Adham Lotfi Al Nashar",6,"Association Aranha",12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
