div,stock,dates
3.18,75.59,1970m6
3.18333,75.72,1970m7
3.18667,77.92,1970m8
3.19,82.58,1970m9
3.17333,84.37,1970m10
3.15667,84.28,1970m11
3.14,90.05,1970m12
3.13,93.49,1971m1
3.12,97.11,1971m2
3.11,99.6,1971m3
3.10667,103,1971m4
3.10333,101.6,1971m5
3.1,99.72,1971m6
3.09667,99,1971m7
3.09333,97.24,1971m8
3.09,99.4,1971m9
3.08333,97.29,1971m10
3.07667,92.78,1971m11
3.07,99.17,1971m12
3.07,103.3,1972m1
3.07,105.2,1972m2
3.07,107.7,1972m3
3.07,108.8,1972m4
3.07,107.7,1972m5
3.07,108,1972m6
3.07333,107.2,1972m7
3.07667,111,1972m8
3.08,109.4,1972m9
3.10333,109.6,1972m10
3.12667,115.1,1972m11
3.15,117.5,1972m12
3.15667,118.4,1973m1
3.16333,114.2,1973m2
3.17,112.4,1973m3
3.18667,110.3,1973m4
3.20333,107.2,1973m5
3.22,104.8,1973m6
3.23667,105.8,1973m7
3.25333,103.8,1973m8
3.27,105.6,1973m9
3.30667,109.8,1973m10
3.34333,102,1973m11
3.38,94.78,1973m12
3.4,96.11,1974m1
3.42,93.45,1974m2
3.44,97.44,1974m3
3.46,92.46,1974m4
3.48,89.67,1974m5
3.5,89.79,1974m6
3.53,79.31,1974m7
3.56,76.03,1974m8
3.59,68.12,1974m9
3.59333,69.44,1974m10
3.59667,71.74,1974m11
3.6,67.07,1974m12
3.62333,72.56,1975m1
3.64667,80.1,1975m2
3.67,83.78,1975m3
3.68333,84.72,1975m4
3.69667,90.1,1975m5
3.71,92.4,1975m6
3.71,92.49,1975m7
3.71,85.71,1975m8
3.71,84.67,1975m9
3.7,88.57,1975m10
3.69,90.07,1975m11
3.68,88.7,1975m12
3.68333,96.86,1976m1
3.68667,100.6,1976m2
3.69,101.1,1976m3
3.71333,101.9,1976m4
3.73667,101.2,1976m5
3.76,101.8,1976m6
3.79,104.2,1976m7
3.82,103.3,1976m8
3.85,105.5,1976m9
3.91667,101.9,1976m10
3.98333,101.2,1976m11
4.05,104.7,1976m12
4.09667,103.8,1977m1
4.14333,101,1977m2
4.19,100.6,1977m3
4.24667,99.05,1977m4
4.30333,98.76,1977m5
4.36,99.29,1977m6
4.40667,100.2,1977m7
4.45333,97.75,1977m8
4.5,96.23,1977m9
4.55667,93.74,1977m10
4.61333,94.28,1977m11
4.67,93.82,1977m12
4.71333,90.25,1978m1
4.75667,88.98,1978m2
4.8,88.82,1978m3
4.83667,92.71,1978m4
4.87333,97.41,1978m5
4.91,97.66,1978m6
4.94667,97.19,1978m7
4.98333,103.9,1978m8
5.02,103.9,1978m9
5.03667,100.6,1978m10
5.05333,94.71,1978m11
5.07,96.11,1978m12
5.11333,99.71,1979m1
5.15667,98.23,1979m2
5.2,100.1,1979m3
5.24667,102.1,1979m4
5.29333,99.73,1979m5
5.34,101.7,1979m6
5.39667,102.7,1979m7
5.45333,107.4,1979m8
5.51,108.6,1979m9
5.55667,104.5,1979m10
5.60333,103.7,1979m11
5.65,107.8,1979m12
5.7,110.9,1980m1
5.75,115.3,1980m2
5.8,104.7,1980m3
5.84667,103,1980m4
5.89333,107.7,1980m5
5.94,114.6,1980m6
5.98333,119.8,1980m7
6.02667,123.5,1980m8
6.07,126.5,1980m9
6.1,130.2,1980m10
6.13,135.7,1980m11
6.16,133.5,1980m12
6.2,133,1981m1
6.24,128.4,1981m2
6.28,133.2,1981m3
6.31667,134.4,1981m4
6.35333,131.7,1981m5
6.39,132.3,1981m6
6.43333,129.1,1981m7
6.47667,129.6,1981m8
6.52,118.3,1981m9
6.55667,119.8,1981m10
6.59333,122.9,1981m11
6.63,123.8,1981m12
6.66,117.3,1982m1
6.69,114.5,1982m2
6.72,110.8,1982m3
6.75,116.3,1982m4
6.78,116.4,1982m5
6.81,109.7,1982m6
6.82333,109.4,1982m7
6.83667,109.7,1982m8
6.85,122.4,1982m9
6.85667,132.7,1982m10
6.86333,138.1,1982m11
6.87,139.4,1982m12
6.88333,144.3,1983m1
6.89667,146.8,1983m2
6.91,151.9,1983m3
6.92,157.7,1983m4
6.93,164.1,1983m5
6.94,166.4,1983m6
6.96,167,1983m7
6.98,162.4,1983m8
7,167.2,1983m9
7.03,167.7,1983m10
7.06,165.2,1983m11
7.09,164.4,1983m12
7.12,166.4,1984m1
7.15,157.3,1984m2
7.18,157.4,1984m3
7.22333,157.6,1984m4
7.26667,156.6,1984m5
7.31,153.1,1984m6
7.33333,151.1,1984m7
7.35667,164.4,1984m8
7.38,166.1,1984m9
